title,directions,NER
Sweet And Sour Seashells,"[""Pour all ingredients over noodles and let marinate in refrigerator for 3 to 4 hours."", ""Wash cucumbers and leave skins on. Cut cucumbers in half lengthwise, then slice.""]","[""wine vinegar"", ""sugar"", ""black pepper"", ""cucumbers"", ""water"", ""corn oil"", ""onions"", ""cider vinegar"", ""salt""]"
Cornbread Salad,"[""Mix well and let set overnight."", ""Will make 2 quarts and 1 pint."", ""You can cut this in half.""]","[""velveeta cheese"", ""bacon"", ""tomatoes"", ""onion"", ""mustard"", ""salad dressing"", ""cornbread mix"", ""green pepper"", ""salt""]"
Ham And Rice Casserole,"[""Mix all ingredients in 8 x 8-inch pan."", ""Bake at 375\u00b0 for 25 minutes.""]","[""rice"", ""cream of mushroom soup"", ""ham"", ""milk""]"
Zucchini Muffins,"[""Preheat oven to 400\u00b0."", ""Grease muffin cups."", ""In large bowl, mix the first 7 ingredients."", ""Beat eggs; stir in oil and zucchini. Stir all together until moistened."", ""Bake for 25 minutes.""]","[""oil"", ""cooking oats"", ""baking powder"", ""sugar"", ""eggs"", ""cinnamon"", ""pecans"", ""flour"", ""zucchini"", ""salt""]"
Chicken Parmesan,"[""Dip chicken in Italian dressing, then bread crumbs."", ""Bake at 350\u00b0 for 30 minutes."", ""Add a layer of Mozzarella cheese the last few minutes (3 to 5) of cooking."", ""Cook jar of spaghetti sauce over low heat."", ""Add onion and garlic clove."", ""Remove when finished cooking."", ""Cook spaghetti noodles."", ""Prepare plate.""]","[""italian dressing"", ""chicken breasts"", ""noodles"", ""mozzarella cheese"", ""onion"", ""clove garlic"", ""spaghetti sauce"", ""bread crumbs""]"
Simple Cherry-Pineapple Crisp,"[""Spread crushed pineapple in the bottom of baking dish. Spread cherry pie filling over the pineapple."", ""Spread yellow cake mix over pineapple and cherry filling."", ""Melt margarine and drizzle over the other ingredients."", ""Bake at 350\u00b0 until golden brown on top.""]","[""margarine"", ""yellow cake mix"", ""cherry pie filling"", ""pineapple""]"
Wacky Cake,"[""Mix all ingredients together."", ""Pour into greased and floured 9 x 13-inch pan."", ""Bake at 350\u00b0 for 35 to 40 minutes.""]","[""oil"", ""vinegar"", ""sugar"", ""baking soda"", ""cold water"", ""flour"", ""cocoa"", ""salt""]"
Cherry Torte,"[""Spread out on cookie sheet and make edges up side."", ""Cover with cherry pie filling."", ""Beat egg whites until stiff."", ""Add 6 tablespoons sugar."", ""Cover filling and sprinkle with ground nuts. Bake at 350\u00b0 for 25 to 30 minutes.""]","[""sugar"", ""vanilla"", ""baking powder"", ""soda"", ""flour"", ""butter"", ""egg yolks""]"
Red Raspberry Cordial,"[""In a 1-gallon jar fitted with a lid, combine the raspberries, sugar and the gin."", ""Stir the mixture well."", ""Secure the lid."", ""Let mixture stand, stirring it once a week, for 4 months."", ""Strain the mixture through a cheesecloth lined sieve into a pitcher, pressing hard on the solids."", ""Return it to the jar."", ""Makes about 4 cups.""]","[""vodka"", ""raspberries"", ""sugar""]"
Pavlova(Australia'S National Dessert)  ,"[""Line cookie sheet with wax paper; grease lightly."", ""Draw 8-inch circle in middle of sheet."", ""Beat egg whites until foamy."", ""Add salt and cream of tartar; beat until stiff, glossy peaks form."", ""Add sugar gradually; beat 2 minutes.""]","[""sugar"", ""egg whites"", ""fruit of your choice"", ""cream of tartar"", ""whipping cream"", ""salt""]"
Chunky Cheddar Chili Beans,"[""Brown beef and onions."", ""Drain."", ""Add all ingredients."", ""Cover and simmer 45 minutes."", ""Add cheese just before serving while hot.""]","[""kidney beans"", ""sugar"", ""tomatoes"", ""tomato paste"", ""pepper"", ""chili powder"", ""cheddar cheese"", ""onions"", ""ground beef"", ""salt""]"
Lazy Day Chicken,"[""Preheat oven to 350\u00b0."", ""Place chicken in baking pan that has been sprayed with a nonstick cooking spray."", ""In a small bowl, combine remaining ingredients and pour over chicken."", ""Cover and bake 30 minutes."", ""Remove cover; continue baking 30 minutes longer.""]","[""water"", ""onion flakes"", ""chicken breast"", ""broth mix"", ""tomato sauce""]"
Chicken Pot Pie,"[""Mix all together and pour into a 9 x 13-inch baking dish.""]","[""cream of chicken soup"", ""water"", ""cream of celery soup"", ""veg-all"", ""chicken""]"
Frito Salad,"[""Drain beans."", ""Mix all ingredients together, except Fritos. Add Fritos just before serving.""]","[""head lettuce"", ""tomatoes"", ""dressing"", ""beans"", ""grated cheese"", ""fritos""]"
Marinated Beef Slices,"[""Slice meat in julienne strips."", ""Add sliced onion, salt and pepper to taste."", ""Sprinkle lemon juice over mixture and mix in sour cream."", ""Chill well."", ""Serve in crystal bowl with crackers. Great appetizer!""]","[""sour cream"", ""pepper"", ""lemon juice"", ""onion"", ""beef"", ""salt""]"
Chicken And Stuffing Bake,"[""Place chicken in ungreased 2-quart casserole or 9 x 9 x 2-inch baking pan."", ""Toss croutons, celery and onion with the 1/2 cup water and the margarine until croutons are moistened."", ""Reserve about 1 1/2 cups of this stuffing."", ""Spread remaining stuffing over chicken."", ""Mix soup with 1 1/2 cups water; pour over stuffing."", ""Top with reserved stuffing."", ""Cook, uncovered, in a 350\u00b0 oven for about 30 minutes.""]","[""condensed cream"", ""onion"", ""water"", ""margarine"", ""herb seasoned croutons"", ""stalk celery"", ""chicken""]"
Turkey Casserole,"[""Mix together and bake for 40 minutes at 350\u00b0.""]","[""cream of chicken soup"", ""cream of mushroom soup"", ""turkey"", ""cream of celery soup"", ""rice""]"
Pancakes,"[""Beat egg until fluffy."", ""Beat in remaining ingredients until smooth."", ""For thinner pancakes, add 1/4 cup milk."", ""Cook on griddle or skillet until golden brown."", ""Makes about 9 pancakes.""]","[""buttermilk"", ""oil"", ""egg"", ""sugar"", ""baking powder"", ""baking soda"", ""flour"", ""salt""]"
Easy Jello Salad,"[""You may use any combination of Jell-O and fruit you want. (Lime Jell-O and pineapple, orange Jell-O and mandarin oranges.)""]","[""o"", ""cottage cheese""]"
Linguine Salad,"[""For option, try broccoli."", ""Mix all together.""]","[""salad supreme"", ""tomato"", ""italian dressing"", ""onion"", ""cucumber"", ""linguine""]"
Hobo Bread(Brown Bread)  ,"[""You will need 3 coffee cans.""]","[""coffee"", ""baking soda"", ""raisins"", ""nuts"", ""flour"", ""white sugar"", ""salt""]"
Meltaways,"[""Mix in a bowl the cream cheese, margarine or butter and flour. Wrap in wax paper and refrigerate overnight."", ""Divide in quarters and roll each into 8-inch circles."", ""Melt 1 stick of butter and brush on dough, then sprinkle filling."", ""Cut each circle into 8 triangles, rolling large end to pointed end and pinch ends."", ""Beat egg yolk with 2 tablespoons water and brush on top.""]","[""flour"", ""margarine"", ""cream cheese""]"
Snickerdoodles,"[""Heat oven to 400\u00b0."", ""Mix thoroughly the butter, shortening, 1 1/2 cups sugar and eggs. Blend in flour, cream of tartar, soda and salt."", ""Shape dough by rounded teaspoonful into balls."", ""Mix 2 tablespoons sugar and the cinnamon."", ""Roll balls in mixture and place 2-inches apart on ungreased baking sheet. Bake 8 to 10 minutes or until set. Remove immediately from baking sheet.""]","[""sugar"", ""shortening"", ""eggs"", ""cinnamon"", ""soda"", ""flour"", ""cream of tartar"", ""butter"", ""salt""]"
Sundown Cooler,"[""Chill ingredients; pour over ice and sliced fruit."", ""Makes 16 punch cups.""]","[""lemon lime soda"", ""lime"", ""lemon"", ""white wine""]"
Oreo Dirt Cake,"[""Crush oreos and layer 1/2 on bottom of glass bowl or flower pot. Cream together margarine, powdered sugar and cream cheese. Add Cool Whip, dry pudding mix"", ""and milk, mixing well."", ""Pour on top of oreos. Add remaining crushed oreos to top.""]","[""powdered sugar"", ""instant chocolate pudding"", ""cream cheese"", ""oreo cookies"", ""margarine"", ""milk""]"
Parmesan Meat Loaf,"[""Combine all ingredients except Parmesan cheese."", ""Mix thoroughly."", ""Pack lightly into an 8-inch square baking pan."", ""Bake at 350\u00b0 for 20 minutes. Sprinkle top with cheese."", ""Bake 10 minutes longer."", ""Let stand for 5 minutes. Cut into squares."", ""Yields 6 servings.""]","[""egg"", ""pepper"", ""parmesan cheese"", ""onion"", ""catsup"", ""cheese"", ""ground beef"", ""oatmeal"", ""mustard"", ""salt""]"
Spinach Squares,"[""In a large bowl, combine flour, salt and baking powder."", ""Stir in beaten eggs, milk and butter."", ""Add remaining ingredients and stir until moistened."", ""Pour into lightly greased 9 x 13-inch pan. Bake at 350\u00b0 for 35 minutes."", ""Cut into 1-inch squares."", ""Makes 2 dozen.""]","[""baking powder"", ""eggs"", ""cheddar cheese"", ""onion"", ""flour"", ""chopped spinach"", ""milk"", ""butter""]"
Sweet Baked Beans,"[""Mix altogether in a baking dish."", ""Bake at 350\u00b0 for 20 minutes. Spread bacon strips across (optional).""]","[""sugar"", ""brown sugar"", ""onion"", ""dill pickle"", ""pork"", ""ketchup"", ""mustard""]"
Butterscotch Torte,"[""Mix together egg yolks, sugar, vanilla, almond and baking powder."", ""Set aside."", ""Whip egg whites until very stiff and fold into yolk mixture."", ""Also fold in graham cracker crumbs and nuts. Pour into greased 9 x 13-inch cake pan."", ""Bake at 325\u00b0 for 30 minutes."", ""Cool."", ""Whip the whipping cream and spread over cool cake.""]","[""almond"", ""baking powder"", ""vanilla"", ""sugar"", ""graham cracker crumbs"", ""whipping cream"", ""egg whites"", ""nuts"", ""egg yolks""]"
Mexican Bean Salad,"[""At the last minute before serving, add 1 cup Catalina dressing and about 1/2 bag crushed Fritos.""]","[""tomato"", ""pepper"", ""onion"", ""grated cheese"", ""ranch style red beans""]"
Hungarian Goulash,"[""Cut beef into 1-inch pieces and brown in hot fat."", ""Add onion and garlic; brown lightly."", ""Mix together catsup, Worcestershire sauce, vinegar, brown sugar, paprika, salt, mustard and pepper. Stir in with meat."", ""Add 3 cups water; cover and simmer 2 to 2 1/2 hours."", ""Thicken with mixture of 2 tablespoons flour and 1/4 cup water."", ""Pour goulash over cooked noodles and garnish with parsley. Serves 8.""]","[""vinegar"", ""noodles"", ""brown sugar"", ""red pepper"", ""fat"", ""catsup"", ""water"", ""clove garlic"", ""dry mustard"", ""flour"", ""onions"", ""parsley"", ""paprika"", ""beef"", ""worcestershire sauce"", ""salt""]"
Broccoli Cornbread,"[""Mix cottage cheese and salt."", ""Add eggs."", ""Mix broccoli, onion and butter."", ""Then add cornmeal mix."", ""Beat until smooth."", ""Bake at 400\u00b0 for 20 minutes or until golden brown.""]","[""eggs"", ""onion"", ""corn muffin"", ""broccoli"", ""cottage cheese"", ""butter"", ""salt""]"
Orange Blossoms,"[""Prepare cake mix according to package directions. Place 1 teaspoon of batter in each well-greased miniature muffin pans. Bake at 325\u00b0 for about 10 minutes.""]","[""yellow cake mix"", ""orange juice"", ""confectioners sugar"", ""lemon juice""]"
Corn Pudding,"[""Mix all ingredients together."", ""Bake at 375\u00b0 for 1 hour.""]","[""corn"", ""sugar"", ""eggs"", ""flour"", ""milk"", ""butter"", ""salt""]"
Chicken Cordon Blue,"[""Pound breasts until thin."", ""Lay slice of cheese and ham on each breast; roll and insert toothpicks to secure."", ""Mix flour, salt, pepper and paprika in plastic bag."", ""Put breasts in bag and shake to coat."", ""Melt butter in frying pan and brown chicken rolls on all sides."", ""Add white wine and bouillon cube."", ""Cover and simmer 30 minutes."", ""Remove chicken from pan."", ""Add cream to pan and cook on medium-high for 3 minutes until smooth and creamy."", ""Pour over chicken."", ""Serves 3.""]","[""chicken breasts"", ""pepper"", ""ham"", ""flour"", ""chicken"", ""swiss"", ""white wine"", ""paprika"", ""butter"", ""whipping cream"", ""salt""]"
Corn Casserole,"[""In a large mixing bowl, mix well the 2 cans of corn, margarine (melted) and the corn bread mix (dry)."", ""Stir in approximately 3/4 of the sour cream."", ""Mix well.""]","[""sour cream"", ""corn"", ""margarine"", ""corn bread""]"
Poppy Seed Bread,"[""Mix boiling"", ""water and poppy seed together."", ""Set aside. Mix remaining"", ""ingredients."", ""Add seed and water mixture."", ""Pour into 2 greased"", ""loaf"", ""pans."", ""Bake at 325\u00b0 for 1 hour."", ""Freezes well.""]","[""oil"", ""eggs"", ""poppy seed"", ""instant coconut pudding"", ""boiling water"", ""butter""]"
Buttermilk Brownie Cake,"[""In a saucepan combine butter, cocoa and 1 cup water."", ""Bring to a boil and stir constantly."", ""Remove from heat."", ""In a large bowl sift together flour, sugar, soda and salt."", ""Stir in eggs, buttermilk and vanilla."", ""Add cocoa mixture; mix until blended. Pour into a greased 15 x 10 x 1-inch pan."", ""Bake at 375\u00b0 for 20 minutes."", ""Immediately pour frosting over brownies; spread evenly.""]","[""buttermilk"", ""sugar"", ""vanilla"", ""eggs"", ""soda"", ""flour"", ""cocoa"", ""butter"", ""salt""]"
Seven Layer Salad,"[""Layer all ingredients in order listed."", ""Cover with Miracle Whip mayonnaise and sprinkle bacon bits on top."", ""Refrigerate.""]","[""miracle"", ""tomatoes"", ""eggs"", ""bacon bits"", ""english peas"", ""grated cheese""]"
Taco Salad,"[""Combine first 7 ingredients in crock-pot; mix well."", ""Add salt and pepper."", ""Cook on low for 3 to 4 hours or until done to taste. Heat cheese and tomatoes in saucepan until cheese melts, stirring constantly."", ""Layer lettuce, ground beef sauce, tomatoes, cheese sauce and crushed corn chips on individual plates."", ""Yield:"", ""12 servings.""]","[""cumin"", ""velveeta cheese"", ""corn chips"", ""green bell pepper"", ""tomatoes"", ""chili powder"", ""ro-tel tomatoes"", ""celery"", ""chopped lettuce"", ""onions"", ""ground beef"", ""garlic"", ""salt""]"
Pizza Dippers,"[""Grease 1 large cookie sheet and unroll pizza dough, cutting the rectangle in half crosswise, then cutting 8 (1-inch) strips. Place strips apart on cookie sheet and brush with margarine. Sprinkle evenly with seasoning and put into 350\u00b0 oven for 11 to 17 minutes."", ""Bring out long enough to sprinkle cheese on top and return to melt."", ""Serve immediately with warm pizza sauce to dip. Makes 16 servings.""]","[""pizza sauce"", ""refrigerator pizza crust"", ""mozzarella cheese"", ""margarine"", ""pizza seasonings""]"
Madge'S Refrigerator Rolls,"[""Put sugar over yeast in lukewarm water and let foam."", ""Scald milk, sugar, oleo and salt."", ""When cool, add dissolved yeast."", ""Fold in egg whites, stir in flour."", ""Dough should be soft."", ""Do not add more flour."", ""Let stand covered until double in size."", ""Stir down and put covered in refrigerator."", ""Let set overnight."", ""Bake in muffin tins."", ""Two small balls dipped in melted oleo forms one roll.""]","[""sugar"", ""shortening"", ""water"", ""egg whites"", ""flour"", ""yeast"", ""milk"", ""salt""]"
Super Sundae Pie,"[""In a mixing bowl, stir slightly softened ice cream until smooth."", ""Spoon the ice cream into the pie crust and cover."", ""Place pie in freezer for several hours, until hard."", ""Remove pie from freezer and let stand for 10 minutes to soften."", ""Spoon strawberry topping onto serving plate."", ""Cut pie and place on top of strawberry topping."", ""Garnish with chocolate sundae syrup and other toppings, as desired."", ""Sprinkle with nuts and a cherry."", ""Return to freezer.""]","[""chocolate sundae syrup"", ""maraschino cherries"", ""nuts"", ""whipped cream"", ""vanilla ice cream"", ""strawberry topping"", ""graham cracker pie crust""]"
Cranberry-Orange Relish For Poultry,"[""Combine all ingredients in a saucepan; bring to a boil over medium heat."", ""Reduce heat and simmer until thick."", ""Let cool and store in refrigerator.""]","[""apple"", ""vinegar"", ""sugar"", ""pecans"", ""pear halves"", ""raisins"", ""ground ginger"", ""cranberry sauce"", ""oranges"", ""ground cinnamon""]"
Swedish Heirloom Cookies,"[""Cream shortening and butter until light and fluffy."", ""Add powdered sugar and salt."", ""Mix well."", ""Stir in flour."", ""Stir in water, vanilla and almonds."", ""Shape dough into 1-inch balls."", ""Place on ungreased baking sheets."", ""Flatten slightly."", ""Bake at 325\u00b0 for 12 to 15 minutes or until done."", ""Dredge cookies in powdered sugar while they're still warm."", ""Yields about 8 dozen.""]","[""vanilla"", ""shortening"", ""ground almonds"", ""powdered sugar"", ""water"", ""flour"", ""butter"", ""salt""]"
Garden Cabbage Salad,"[""Combine all ingredients except dressing."", ""Cover and chill. Toss with dressing just before serving."", ""Yields 8 to 10 servings.""]","[""cabbage"", ""cucumber"", ""dressing"", ""green onions"", ""radishes"", ""carrot"", ""green pepper""]"
Kentucky Pecan Pie,"[""Mix all ingredients."", ""Bake 45 minutes in preheated oven at 350\u00b0. Decorate with whole pecan halves.""]","[""vanilla"", ""brown sugar"", ""eggs"", ""pecans"", ""white corn syrup"", ""butter"", ""salt""]"
London Broil,"[""Place steak in shallow pan."", ""Combine oil, vinegar and garlic. Pour over steak."", ""Cover and let stand in refrigerator for 3 hours or better yet overnight, turning several times."", ""Preheat broiler. Broil steak 3-inches from heat, about 5 minutes."", ""Season."", ""Turn; broil 3 minutes."", ""Add more seasoning."", ""Remove to cutting board. Carve very thin slices diagonally across the grain."", ""Serves 4 to 5.""]","[""vinegar"", ""salad oil"", ""flank steak"", ""clove garlic"", ""salt""]"
Hello Dolly Bars,"[""Melt oleo in a pan."", ""Add graham cracker."", ""Mix and spread in bottom of a 9 x 13 inch greased pan."", ""Layer chocolate chips, butterscotch chips, walnuts if desired and shredded coconut."", ""Pour condensed milk on top and bake at 350\u00b0 for 30-35 minutes."", ""Cool and cut into bars.""]","[""condensed milk"", ""graham cracker crumbs"", ""butterscotch chips"", ""walnuts"", ""coconut"", ""chocolate chips""]"
Macaroni And Cheese Casserole,"[""Mix all ingredients."", ""Before baking, cover with crumbled cheese crackers and dot with butter."", ""Bake at 325\u00b0 for 40 minutes.""]","[""condensed cream"", ""macaroni"", ""onion"", ""sharp cheese"", ""mayonnaise"", ""pimento""]"
Betsy'S Chocolate Fudge Cake,"[""Melt chocolate in small bowl over hot water; cool."", ""Grease and flour 2 to 3 (9-inch) cake pans."", ""Sift flour, baking soda and salt onto wax paper."", ""Beat butter until soft in large bowl."", ""Add brown sugar and eggs; beat with mixer at high speed until light and fluffy (5 minutes)."", ""Beat in vanilla and chocolate."", ""Stir in dry ingredients, alternating with sour cream."", ""Beat well with wooden spoon after each addition."", ""Stir in boiling water (batter will be thin)."", ""Pour into pan and bake at 350\u00b0 for 35 minutes. Cool pans on rack for 10 minutes; turn out on racks."", ""Cool completely and ice with Chocolate Fudge Frosting.""]","[""sour cream"", ""baking powder"", ""vanilla"", ""brown sugar"", ""eggs"", ""flour"", ""unsweetened chocolate"", ""boiling water"", ""butter"", ""salt""]"
Cream Cheese Squares,"[""Mix the cake mix, egg and margarine good and press into a 9 x 12-inch sheet cake pan."", ""Next, mix and cream together good the sugar, 2 eggs and sour cream."", ""Spread on top of cake mixture."", ""Bake at 350\u00b0 for 40 minutes."", ""Cut when cool.""]","[""egg"", ""sugar"", ""eggs"", ""cream cheese"", ""margarine"", ""yellow cake mix""]"
Beef Barbecue,"[""Cook on top of stove several hours."", ""(Meat will eventually shred.)"", ""Cook on low to medium heat."", ""If liquid disappears, add water and ketchup (if needed)."", ""Cut beef in pieces and put into pot; add all ingredients to the beef."", ""Cook 3 to 4 hours.""]","[""vinegar"", ""lemon juice"", ""onion"", ""water"", ""ketchup"", ""mustard"", ""boneless chuck roast""]"
Chicken Stroganoff,"[""Slice chicken into thin strips."", ""In a large skillet over medium heat, heat 1 tablespoon vegetable oil. Add onions."", ""Saute 2 minutes."", ""Add mushrooms and saute 3 minutes longer."", ""Remove vegetables from skillet; reserve."", ""Heat remaining oil in skillet. Add chicken and garlic."", ""Cook as for stir-fry. Return vegetables to skillet."", ""Add broth and pepper."", ""In a small bowl, combine water and cornstarch."", ""Stir into skillet mixture. Over medium heat, bring to a boil and boil 1 minute, stirring constantly. Remove from heat and stir in yogurt."", ""Heat gently over low heat (do not boil)."", ""Serve over noodles.""]","[""chicken breasts"", ""pepper"", ""noodles"", ""mushrooms"", ""water"", ""yogurt"", ""cornstarch"", ""chicken broth"", ""onions"", ""garlic"", ""vegetable oil""]"
Cream Pie And Pudding(Microwave)  ,"[""Microwave Directions:"", ""Combine sugar, flour and salt in deep 2-quart glass mixing bowl."", ""Add eggs and milk."", ""Beat with whisk until smooth."", ""Microwave at Full power for 8 minutes, stirring 3 times."", ""Proceed as recipe directs.""]","[""sugar"", ""eggs"", ""flour"", ""milk"", ""salt""]"
Crispix Cookies,"[""Combine butterscotch and semi-sweet chocolate morsels in a large saucepan."", ""Stir constantly over low heat until smooth. Remove from heat and add peanuts and cereal."", ""Stir gently until well coated."", ""Drop by teaspoons onto waxed paper."", ""Chill until firm.""]","[""semi-sweet chocolate morsels"", ""cereal"", ""peanuts"", ""butterscotch morsels""]"
Rum Balls,"[""Combine crushed wafers, nuts and 1/2 cup powdered sugar in large bowl; set aside."", ""Melt chocolate with corn syrup."", ""Stir in rum until smooth."", ""Pour chocolate mixture over crumb mixture; mix thoroughly."", ""Roll into 1-inch balls."", ""Place on wax paper."", ""Roll each ball in remaining 1 cup powdered sugar."", ""Store in airtight container for at least 3 days before serving.""]","[""semi-sweet chocolate"", ""light corn syrup"", ""powdered sugar"", ""vanilla wafers"", ""nuts"", ""rum""]"
Millionaire Cake,"[""Beat together."", ""Bake in a 9 x 13-inch pan at 350\u00b0 for 45 to 55 minutes.""]","[""sugar"", ""vanilla"", ""eggs"", ""soda"", ""flour"", ""nuts"", ""coconut"", ""pineapple"", ""salt""]"
Hawaiian Carrots,"[""Scrape and cut carrots into small pieces or chunks."", ""Cook and drain; salt."", ""Drain pineapple."", ""Use 1/2 cup pineapple juice, cornstarch, oleo and sugar and cook until thick."", ""Add carrots and pineapple to sauce and simmer 10 minutes."", ""Better if made a day ahead.""]","[""oleo"", ""brown sugar"", ""cornstarch"", ""carrots"", ""pineapple""]"
Ginny'S Salad,"[""Wash, dry and break lettuce into bite size pieces."", ""Toss in cheese and walnuts."", ""Mix with dressing prior to serving.""]","[""mozzarella cheese"", ""italian dressing"", ""walnuts""]"
Onion Soup,"[""Cook onions in butter and oil for 15 minutes in Dutch oven; stir occasionally."", ""Add sugar and cook 15 minutes until onions are brown."", ""Sprinkle onions with flour; blend in hot broth, wine and seasonings."", ""Simmer for 30 minutes."", ""Lightly toast garlic bread in 350\u00b0 oven for 20 minutes."", ""Baste each slice with 1/2 teaspoon oil and garlic."", ""Serve soup with toast floating on the soup. Sprinkle the toast with cheese."", ""Bake for 15 minutes."", ""Serve hot. Makes 4 to 8 servings.""]","[""bread"", ""sugar"", ""swiss cheese"", ""beef broth"", ""flour"", ""vegetable oil"", ""onions"", ""white wine"", ""butter""]"
Banana Walnut Cake,"[""Cream shortening and gradually add sugar; cream together until light and fluffy."", ""Add eggs."", ""Sift flour before measuring, then add baking powder, soda and salt."", ""Add the sour milk and flour mixture, alternating with the egg, sugar and butter mixture."", ""Beat after each addition."", ""Add banana pulp; beat well."", ""Add nuts."", ""Pour into greased Bundt pan."", ""Bake at 350\u00b0 for 50 to 60 minutes.""]","[""cake flour"", ""sour milk"", ""sugar"", ""vanilla"", ""baking powder"", ""shortening"", ""eggs"", ""soda"", ""walnuts"", ""banana pulp"", ""salt""]"
Fish And Broccoli Roll-Ups(Serves 4)  ,"[""Cut fish into strips."", ""Cut broccoli into small pieces. Alternate broccoli pieces and rolled fish strips onto kabob spears adding lemon wedges to each end."", ""Baste with salad dressing. Broil 8 to 10 minutes.""]","[""salad dressing"", ""lemon wedges"", ""broccoli"", ""flounder""]"
Fat Free Pizza Treats,"[""Top English muffins with pizza sauce and toppings of your choice ending with cheese."", ""Toast in toaster oven until cheese melts.""]","[""pizza sauce"", ""mozzarella cheese"", ""parmesan cheese"", ""onion"", ""mushrooms"", ""muffins"", ""green pepper""]"
Sesame Chicken Wings,"[""In a bowl, whisk together the soy sauce, the garlic, the ginger, the honey and the pepper."", ""Add the wings; toss them to coat and let them marinate, covered and chilled, for 2 hours. Line a baking pan with foil and arrange the wings, drained (reserving the marinade) in one layer on the foil."", ""Brush the wings with the"", ""oil; sprinkle them with the sesame seed and bake them in the middle of a preheated 400\u00b0 oven, basting them occasionally with the reserved marinade, for 30 to 35 minutes or until they are browned."", ""Serves 4 as an hors d'oeuvre.""]","[""sesame seed"", ""soy sauce"", ""fresh ginger"", ""freshly ground black pepper"", ""sesame oil"", ""chicken"", ""garlic"", ""honey""]"
Imitation Crabmeat Salad,"[""Shred crabmeat into thin strips 1/4 to 1/2-inch x 3 to 4-inches long."", ""Cook pasta and drain."", ""Add pasta to crabmeat, then add all other ingredients."", ""Chill for at least 1/2 hour before serving.""]","[""celery salt"", ""sour cream"", ""spiral pasta"", ""pepper"", ""green onions"", ""water chestnuts"", ""onion powder"", ""celery"", ""mayonnaise"", ""frozen pea pods"", ""monde"", ""imitation crabmeat"", ""dill weed""]"
Macaroni And Cottage Cheese,"[""Cook macaroni until tender."", ""Drain."", ""Put into dish and mix in 1 small carton cottage cheese."", ""Brown butter in skillet and pour over mixture."", ""Salt and pepper to taste."", ""Serve.""]","[""salt"", ""butter"", ""macaroni"", ""cottage cheese""]"
String Pie,"[""Cook beef, onion and green pepper in large skillet over medium-high heat until meat is brown, stirring to separate meat; drain fat."", ""Stir in spaghetti sauce, mix well."", ""Combine Parmesan cheese, eggs and butter in large bowl; mix well."", ""Place in bottom of 13 x 9-inch pan; spread cottage cheese over top."", ""Pour sauce mixture over cottage cheese."", ""Sprinkle Mozzarella over top."", ""Bake in preheated 350\u00b0 oven until cheese melts, about 20 minutes.""]","[""eggs"", ""parmesan cheese"", ""mozzarella cheese"", ""green onion"", ""onion"", ""cottage cheese"", ""ground beef"", ""spaghetti sauce"", ""butter""]"
Easters Hamburgers,"[""Brown hamburger patties."", ""Slice raw onions on top."", ""Pour mixture over hamburgers."", ""Bake 1 hour at 350\u00b0.""]","[""brown sugar"", ""chili powder"", ""tomato sauce"", ""dry mustard"", ""salt""]"
Coconut Macaroons,"[""Combine first 4 ingredients."", ""Stir in beaten egg whites and almond extract; mix well."", ""Lightly grease cookie sheet."", ""Cut cherries in quarters."", ""Drop by teaspoonful onto cookie sheet about 1-inch apart. Top with cherry."", ""Bake at 325\u00b0 for 20 to 25 minutes. Take out when edges are golden.""]","[""sugar"", ""egg whites"", ""maraschino cherries"", ""flour"", ""coconut"", ""almond extract"", ""salt""]"
Cranberry Salad,"[""Put oranges, apples and cranberries through food chopper. Drain pineapple and add. Dissolve Jell-O, sugar in water (heat to dissolve thoroughly)."", ""Mix into mixture well and add chopped nuts. Let set in refrigerator about 24 hours before serving.""]","[""no"", ""sugar"", ""cranberries"", ""water"", ""nuts"", ""apples"", ""oranges""]"
Lazy Day Salad,"[""Mix all ingredients by hand."", ""Fold in Cool Whip."", ""Refrigerate all day or overnight."", ""Will keep for 7 to 10 days in fridge.""]","[""lemon pudding"", ""fruit cocktail"", ""vanilla pudding"", ""mandarin oranges"", ""pineapple""]"
Pear Relish,"[""Let pears, onions and peppers stand in separate containers for 1 hour. Pour boiling water over each; drain well."", ""Combine pears, onion, peppers, vinegar, sugar and seasonings in a large kettle. Bring to a boil, reduce heat and simmer uncovered for 30 minutes. Pour hot mixture into hot sterilized jars, leaving 1/4 inch headspace."", ""Remove air bubbles and wipe jar rims."", ""Cover at once with metal lids and screw on bands."", ""Process in boiling water bath for 20 minutes."", ""Let stay in a cool place for 1 month before using."", ""Chill before serving."", ""Makes 10 pints.""]","[""vinegar"", ""sugar"", ""ground cinnamon"", ""ground turmeric"", ""green peppers"", ""pickling salt"", ""ground"", ""ground allspice"", ""onions"", ""ground ginger"", ""sweet red peppers"", ""hot peppers""]"
Strawberry Bread,"[""Preheat oven to 350\u00b0."", ""Grease and flour two 9 x 5-inch loaf pans."", ""In a medium bowl, stir berries, eggs and oil."", ""In a large bowl, combine flour, sugar, cinnamon, soda, salt and nuts."", ""Add berry mix to dry ingredients and stir until blended. Pour into greased pans."", ""Bake 1 hour or until toothpick inserted in center comes out clean.""]","[""sugar"", ""salad oil"", ""eggs"", ""cinnamon"", ""soda"", ""flour"", ""nuts"", ""strawberries"", ""salt""]"
